########################## FILTER u ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
S24	1.01	0.06	0.06	0.0011560	25.4171	0.1140
S25	1.01	0.06	0.06	0.0007177	25.4067	0.1352
S26	1.01	0.06	0.06	0.0007317	25.4041	0.2037
S27	1.01	0.06	0.06	0.0006643	25.4047	0.0855
S28	1.01	0.06	0.06	0.0007813	25.4138	0.1852
S29	1.01	0.06	0.06	0.0006781	25.4138	0.1352
S30	1.01	0.06	0.06	0.0012788	25.4126	0.2081
S31	1.01	0.06	0.06	0.0007367	25.4196	0.2207
N1	1.01	0.06	0.06	0.0006403	25.4152	0.1842
N2	1.01	0.06	0.06	0.0009742	25.3943	0.1937
N3	1.01	0.06	0.06	0.0008977	25.3799	0.1750
N4	1.01	0.06	0.06	0.0060431	25.3811	0.3821
N5	1.01	0.06	0.06	0.0037352	25.3906	0.1428
N6	1.01	0.06	0.06	0.0095073	25.3953	0.0748
N7	1.01	0.06	0.06	0.0007157	25.4242	0.2440
N8	1.01	0.06	0.06	0.0007616	25.4148	0.2804
N9	1.01	0.06	0.06	0.0025528	25.3924	0.0017
N10	1.01	0.06	0.06	0.0007537	25.3811	0.2206
N11	1.01	0.06	0.06	0.0008741	25.3799	0.2104
N12	1.01	0.06	0.06	0.0007041	25.3880	0.2390
N13	1.01	0.06	0.06	0.0016599	25.4021	0.1476
N14	1.01	0.06	0.06	0.0008357	25.4162	0.3030
N15	1.01	0.06	0.06	0.0006850	25.3947	0.2033
N16	1.01	0.06	0.06	0.0230775	25.3884	0.1336
N17	1.01	0.06	0.06	0.0008266	25.3897	0.2095
N18	1.01	0.06	0.06	0.0033041	25.3916	0.1250
N19	1.01	0.06	0.06	0.0105295	25.4077	0.2001
N20	1.01	0.06	0.06	0.0009932	25.4115	0.3552
N21	1.01	0.06	0.06	0.0018806	25.3958	0.2023
N22	1.01	0.06	0.06	0.0011007	25.3896	0.1087
N23	1.01	0.06	0.06	0.0007938	25.3958	0.1038
N24	1.01	0.06	0.06	0.0006911	25.4041	0.1567
N25	1.01	0.06	0.06	0.0007884	25.4117	0.1696
N26	1.01	0.06	0.06	0.0008013	25.4080	0.0756
N27	1.01	0.06	0.06	0.0123749	25.4078	0.1850
N28	1.01	0.06	0.06	0.0007505	25.4070	0.1310
N29	1.01	0.06	0.06	0.0012269	25.4197	0.1532
N30	1.01	0.06	0.06	999999999	9999999	999999		
N31	1.01	0.06	0.06	0.0220137	25.4202	0.1414

########################## FILTER z ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
S1	1.046	0.07	0.07	0.0006869	25.1475	0.1349
S2	1.046	0.07	0.07	0.0011979	25.1315	0.0861
S3	1.046	0.07	0.07	0.0015799	25.0751	0.1050
S4	1.046	0.07	0.07	0.0013610	25.1101	0.0807
S5	1.046	0.07	0.07	0.0007996	25.1172	0.1211
S6	1.046	0.07	0.07	0.0007131	25.1259	0.1165
S7	1.046	0.07	0.07	999999999	25.1480	0.2490
S8	1.046	0.07	0.07	0.0052121	25.1463	0.1325
S9	1.046	0.07	0.07	0.0006095	25.1146	0.0605
S10	1.046	0.07	0.07	0.0011792	25.1103	0.1540
S11	1.046	0.07	0.07	0.0008214	25.1018	0.1640
S12	1.046	0.07	0.07	0.0006564	25.1359	0.0895
S13	1.046	0.07	0.07	0.0010269	25.1410	0.0855
S14	1.046	0.07	0.07	0.0006859	25.1571	0.1297
S15	1.046	0.07	0.07	0.0006735	25.1320	0.0374
S16	1.046	0.07	0.07	0.0006802	25.1170	0.2574
S17	1.046	0.07	0.07	0.0007250	25.1102	0.1274
S18	1.046	0.07	0.07	0.0007530	25.1406	0.1984
S19	1.046	0.07	0.07	0.0005927	25.1533	0.0670
S20	1.046	0.07	0.07	0.0006729	25.1524	0.1980
S21	1.046	0.07	0.07	0.0007344	25.1402	0.0892
S22	1.046	0.07	0.07	0.0013090	25.1312	0.1770
S23	1.046	0.07	0.07	0.0010729	25.1357	0.0419
S24	1.046	0.07	0.07	0.0007348	25.1621	0.0453
S25	1.046	0.07	0.07	0.0007202	25.1530	0.1541
S26	1.046	0.07	0.07	0.0016173	25.1335	0.0981
S27	1.046	0.07	0.07	0.0006749	25.1466	0.3131
S28	1.046	0.07	0.07	0.0008120	25.1546	0.1410
S29	1.046	0.07	0.07	0.0870276	25.1729	0.1952
S30	1.046	0.07	0.07	0.1366686	25.1764	0.1464
S31	1.046	0.07	0.07	0.0205694	25.1683	0.1571
N1	1.046	0.07	0.07	0.0006808	25.1551	0.0420
N2	1.046	0.07	0.07	0.0016301	25.1251	0.0477
N3	1.046	0.07	0.07	0.0042670	25.0975	0.1019
N4	1.046	0.07	0.07	0.0023871	25.1005	0.0836
N5	1.046	0.07	0.07	0.0010567	25.0998	0.1546
N6	1.046	0.07	0.07	0.0164730	25.1509	0.0916
N7	1.046	0.07	0.07	0.0006907	25.1553	0.1236
N8	1.046	0.07	0.07	0.0023997	25.1504	0.1454
N9	1.046	0.07	0.07	0.0009501	25.1209	0.1087
N10	1.046	0.07	0.07	0.0013805	25.1035	0.0762
N11	1.046	0.07	0.07	0.0007636	25.0905	0.2946
N12	1.046	0.07	0.07	0.0006218	25.1148	0.1533
N13	1.046	0.07	0.07	0.0054403	25.1609	0.1181
N14	1.046	0.07	0.07	0.0007816	25.1689	0.2780
N15	1.046	0.07	0.07	0.0010037	25.1301	0.2373
N16	1.046	0.07	0.07	0.0051928	25.1072	0.1436
N17	1.046	0.07	0.07	0.0010612	25.0934	0.1352
N18	1.046	0.07	0.07	0.0034639	25.1346	0.0959
N19	1.046	0.07	0.07	0.0111063	25.1513	0.0965
N20	1.046	0.07	0.07	0.0011232	25.1638	0.1704
N21	1.046	0.07	0.07	0.0016126	25.1392	0.1101
N22	1.046	0.07	0.07	0.0007020	25.1246	0.1480
N23	1.046	0.07	0.07	0.0033925	25.1343	0.1230
N24	1.046	0.07	0.07	0.0007256	25.1493	0.0889
N25	1.046	0.07	0.07	0.0009430	25.1485	0.1331
N26	1.046	0.07	0.07	0.0035491	25.1380	0.0986
N27	1.046	0.07	0.07	0.0062161	25.1394	0.1375
N28	1.046	0.07	0.07	0.0017253	25.1514	0.0345
N29	1.046	0.07	0.07	0.0871455	25.1342	0.1066
N30	1.046	0.07	0.07	999999999	9999999	999999		
N31	1.046	0.07	0.07	0.0527042	25.1518	0.2587

########################## FILTER Y ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
S1	1.405	0.1172	0.1228	0.0147177	24.0773	0.0761
S2	1.405	0.1179	0.1228	0.0008915	23.9843	0.2238
S3	1.405	0.1133	0.1228	0.0008124	24.0199	0.2403
S4	1.405	0.1229	0.1228	0.0007382	24.0889	0.1340
S5	1.405	0.1228	0.1228	0.0007693	24.0749	0.1291
S6	1.405	0.1225	0.1228	0.0903842	24.0732	0.2124
S7	1.405	0.1323	0.1228	999999999	24.0819	0.1267
S8	1.405	0.1199	0.1228	0.0010576	24.0997	0.6328
S9	1.405	0.1198	0.1228	0.0008946	24.0613	0.1393
S10	1.405	0.1197	0.1228	0.0007977	24.0671	0.1498
S11	1.405	0.1223	0.1228	0.0008539	24.0556	0.1278
S12	1.405	0.1325	0.1228	0.0005909	24.0666	0.1373
S13	1.405	0.1335	0.1228	0.0014582	24.0682	0.1182
S14	1.405	0.1160	0.1228	0.0007807	24.1233	0.1987
S15	1.405	0.1193	0.1228	0.0008247	24.0508	0.1700
S16	1.405	0.1252	0.1228	0.0009098	24.0746	0.2319
S17	1.405	0.1241	0.1228	0.0007361	24.0817	0.2361
S18	1.405	0.1197	0.1228	0.0083836	24.0233	0.0626
S19	1.405	0.1254	0.1228	0.0413886	24.1035	0.3405
S20	1.405	0.1172	0.1228	0.0112488	24.0604	0.1457
S21	1.405	0.1188	0.1228	0.0008243	24.0810	0.1235
S22	1.405	0.1247	0.1228	0.0008077	24.1136	0.2786
S23	1.405	0.1212	0.1228	0.0007552	24.0985	0.4014
S24	1.405	0.1307	0.1228	0.0095905	24.1069	0.0323
S25	1.405	0.1203	0.1228	0.0060130	24.1471	0.0892
S26	1.405	0.1221	0.1228	0.0010384	24.0853	0.0603
S27	1.405	0.1239	0.1228	0.0008028	24.0734	0.1213
S28	1.405	0.1330	0.1228	0.0036431	24.1251	0.1018
S29	1.405	0.1339	0.1228	0.0103910	24.0879	0.0559
S30	1.405	0.1289	0.1228	0.0059414	24.1289	0.1330
S31	1.405	0.1284	0.1228	0.0074671	24.1260	0.0635
N1	1.405	0.1209	0.1228	0.0007486	24.1063	0.2272
N2	1.405	0.1196	0.1228	0.0007641	24.0959	0.0821
N3	1.405	0.1207	0.1228	0.0008939	24.0558	0.1261
N4	1.405	0.1221	0.1228	0.0007172	24.0933	0.0692
N5	1.405	0.1242	0.1228	0.0007116	24.0641	0.1982
N6	1.405	0.1332	0.1228	0.0008266	24.0850	0.0701
N7	1.405	0.1298	0.1228	0.0008519	24.1369	0.1930
N8	1.405	0.1209	0.1228	0.0008045	24.1029	0.1923
N9	1.405	0.1168	0.1228	0.0005948	24.0719	0.1702
N10	1.405	0.1194	0.1228	0.0007953	24.0152	0.1938
N11	1.405	0.1201	0.1228	0.0007580	24.0469	0.1562
N12	1.405	0.1236	0.1228	0.0008556	24.0666	0.1012
N13	1.405	0.1262	0.1228	0.0009964	24.1068	0.1752
N14	1.405	0.1163	0.1228	0.0008508	24.0943	0.0987
N15	1.405	0.1224	0.1228	0.0007042	24.0740	0.1751
N16	1.405	0.1228	0.1228	0.0006829	24.0484	0.1132
N17	1.405	0.1233	0.1228	0.0007416	24.0946	0.0523
N18	1.405	0.1254	0.1228	0.0007229	24.0560	0.0943
N19	1.405	0.1289	0.1228	0.0009433	24.0493	0.0833
N20	1.405	0.1179	0.1228	0.0008065	24.0983	0.1884
N21	1.405	0.1196	0.1228	0.0006165	24.0711	0.1333
N22	1.405	0.1141	0.1228	0.0007901	24.0874	0.2383
N23	1.405	0.1283	0.1228	0.0006966	24.0421	0.2029
N24	1.405	0.1266	0.1228	0.0007151	24.0915	0.0631
N25	1.405	0.1174	0.1228	0.0008075	24.0758	0.1832
N26	1.405	0.1266	0.1228	0.0006898	24.0503	0.5686
N27	1.405	0.1268	0.1228	0.0011639	24.0193	0.2238
N28	1.405	0.1269	0.1228	0.0006987	24.0789	0.1865
N29	1.405	0.1200	0.1228	0.0007037	24.0839	0.1333
N30	9999999	999999	999999	999999999	9999999	999999
N31	1.405	0.1306	0.1228	0.0006050	24.0700	0.2777
